week,total_pipelines,success_pipelines,failed_pipelines,change_failure_rate,deployment_count
2020-W19,2,1,1,50.0,2
2020-W20,13,7,3,23.08,10
2020-W21,13,11,1,7.69,11
2020-W22,14,10,4,28.57,11
2020-W23,10,7,2,20.0,8
2020-W24,23,18,5,21.74,18
2020-W25,30,18,7,23.33,21
2020-W26,29,22,5,17.24,21
2020-W27,11,9,0,0.0,8
2020-W28,17,11,4,23.53,11
2020-W29,25,20,3,12.0,17
2020-W30,14,12,2,14.29,9
2020-W31,15,6,8,53.33,9
2020-W32,16,10,3,18.75,11
2020-W33,10,7,2,20.0,8
2020-W34,21,14,5,23.81,15
2020-W35,20,13,5,25.0,12
2020-W36,18,13,4,22.22,12
2020-W37,28,22,4,14.29,20
2020-W38,19,13,4,21.05,11
2020-W39,19,16,3,15.79,15
2020-W40,11,6,4,36.36,7
2020-W41,21,18,2,9.52,15
2020-W42,10,6,3,30.0,9
2020-W43,12,8,3,25.0,8
2020-W44,11,7,3,27.27,7
2020-W45,15,9,5,33.33,10
2021-W14,2,1,1,50.0,1
2021-W15,11,5,6,54.55,8
2021-W16,21,14,4,19.05,14
2021-W17,14,9,4,28.57,10
2021-W18,14,9,4,28.57,10
2021-W19,31,24,5,16.13,23
2021-W20,21,16,1,4.76,14
2021-W21,15,11,4,26.67,11
2021-W22,18,13,3,16.67,13
2021-W23,13,8,3,23.08,10
2021-W24,23,12,8,34.78,16
2021-W25,23,16,5,21.74,16
2021-W26,24,18,5,20.83,17
2021-W27,25,17,6,24.0,18
2021-W28,27,18,8,29.63,17
2021-W29,22,16,2,9.09,14
2021-W30,13,10,3,23.08,9
2021-W31,24,12,7,29.17,17
2021-W32,25,19,6,24.0,17
2021-W33,9,6,3,33.33,7
2021-W34,31,19,8,25.81,21
2021-W35,30,18,7,23.33,20
2021-W36,25,18,4,16.0,17
2021-W37,8,6,2,25.0,7
2021-W38,39,28,6,15.38,26
2021-W39,13,7,6,46.15,10
2021-W40,20,12,6,30.0,15
2021-W41,24,18,3,12.5,18
2021-W42,13,11,1,7.69,9
2021-W43,9,7,1,11.11,7
2021-W44,11,6,2,18.18,7
2021-W45,16,13,2,12.5,11
2021-W46,15,12,1,6.67,10
2021-W47,1,1,0,0.0,1
2021-W48,2,1,1,50.0,1
2022-W01,4,3,1,25.0,2
2022-W02,20,12,5,25.0,15
2022-W03,15,8,4,26.67,11
2022-W04,11,6,4,36.36,6
2022-W05,17,15,0,0.0,12
2022-W06,19,17,1,5.26,12
2022-W07,14,8,6,42.86,10
2022-W08,14,9,4,28.57,10
2022-W09,27,19,5,18.52,17
2022-W10,15,11,3,20.0,10
2022-W11,10,7,2,20.0,6
2022-W12,16,11,3,18.75,14
2022-W13,14,11,2,14.29,9
2022-W14,20,14,6,30.0,14
2022-W15,22,14,5,22.73,14
2022-W16,28,20,5,17.86,16
2022-W17,14,7,3,21.43,10
2022-W18,11,9,2,18.18,6
2022-W19,14,9,4,28.57,9
2022-W20,14,9,3,21.43,9
2022-W21,18,12,4,22.22,13
2022-W22,25,15,7,28.0,20
2022-W23,27,21,4,14.81,18
2022-W24,18,16,2,11.11,12
2022-W25,27,24,1,3.7,16
2022-W26,25,17,7,28.0,16
2022-W27,19,12,6,31.58,12
2022-W28,11,11,0,0.0,8
2023-W06,4,2,2,50.0,3
2023-W07,10,6,2,20.0,7
2023-W08,16,12,3,18.75,11
2023-W09,14,10,4,28.57,10
2023-W10,17,11,3,17.65,12
2023-W11,14,11,2,14.29,10
2023-W12,26,19,5,19.23,18
2023-W13,20,13,5,25.0,13
2023-W14,31,21,7,22.58,23
2023-W15,18,10,3,16.67,12
2023-W16,11,10,0,0.0,8
2023-W17,19,14,4,21.05,15
2023-W18,17,10,6,35.29,14
2023-W19,21,14,5,23.81,13
2023-W20,36,26,9,25.0,25
2023-W21,21,12,6,28.57,14
2023-W22,22,19,2,9.09,15
2023-W23,22,18,3,13.64,16
2023-W24,11,6,4,36.36,8
2023-W25,15,10,4,26.67,8
2023-W26,21,14,4,19.05,15
2023-W27,18,12,5,27.78,11
2023-W28,12,10,2,16.67,8
2023-W29,19,16,2,10.53,14
2023-W30,18,15,2,11.11,11
2023-W31,18,10,4,22.22,11
2023-W32,16,9,6,37.5,10
2023-W33,27,19,7,25.93,19
2023-W34,48,35,9,18.75,32
2023-W35,22,14,7,31.82,15
2023-W36,5,5,0,0.0,4
2023-W37,8,6,1,12.5,5
2023-W38,7,5,2,28.57,4
2024-W01,11,6,3,27.27,1
2024-W11,5,4,1,20.0,4
2024-W12,16,12,2,12.5,11
2024-W13,23,10,8,34.78,14
2024-W14,13,5,4,30.77,9
2024-W15,16,10,1,6.25,12
2024-W16,11,9,2,18.18,8
2024-W17,46,10,22,47.83,20
2024-W18,52,10,33,63.46,36
2024-W19,31,7,22,70.97,4
2024-W20,66,18,36,54.55,31
2024-W21,16,5,10,62.5,9
2024-W22,48,24,20,41.67,21
2024-W23,127,55,62,48.82,56
2024-W24,102,89,13,12.75,69
2024-W25,42,33,8,19.05,34
2024-W26,129,114,9,6.98,91
2024-W27,112,97,14,12.5,63
2024-W28,177,161,14,7.91,70
2024-W29,126,114,10,7.94,63
2024-W30,61,48,8,13.11,41
2024-W31,71,63,7,9.86,57
2024-W32,95,81,7,7.37,75
2024-W33,58,51,6,10.34,45
2024-W34,69,63,4,5.8,60
2024-W35,36,33,3,8.33,27
2024-W36,38,31,3,7.89,31
2024-W37,156,142,9,5.77,128
2024-W38,68,57,5,7.35,49
2024-W39,86,66,15,17.44,53
2024-W40,72,47,7,9.72,9
2024-W41,94,72,18,19.15,6
2024-W42,93,69,19,20.43,18
2024-W43,165,132,29,17.58,12
2024-W44,191,143,33,17.28,20
2024-W45,130,105,18,13.85,50
2024-W46,85,66,11,12.94,33
2024-W47,84,61,20,23.81,24
2024-W48,70,49,10,14.29,34
2024-W49,62,31,27,43.55,31
2024-W50,59,36,14,23.73,23
2024-W51,57,32,21,36.84,28
2024-W52,106,40,42,39.62,32
2025-W01,24,15,5,20.83,14
2025-W02,47,36,9,19.15,18
2025-W03,44,37,3,6.82,17
2025-W04,51,40,8,15.69,25
2025-W05,100,81,16,16.0,57
2025-W06,79,65,11,13.92,49
2025-W07,75,54,17,22.67,43
2025-W08,57,49,5,8.77,38
2025-W09,153,102,39,25.49,77
2025-W10,59,43,12,20.34,26
2025-W11,88,59,21,23.86,50
2025-W12,72,54,13,18.06,40
2025-W13,33,23,9,27.27,17
2025-W14,104,90,8,7.69,40
2025-W15,146,135,7,4.79,49
2025-W16,159,147,9,5.66,48
2025-W17,147,131,10,6.8,47
2025-W18,114,99,11,9.65,39
2025-W19,259,216,25,9.65,75
2025-W20,123,78,25,20.33,26
2025-W21,181,150,18,9.94,32
2025-W22,165,143,18,10.91,40
2025-W23,135,89,38,28.15,25
2025-W24,100,72,24,24.0,27
2025-W25,94,79,11,11.7,28
2025-W26,114,86,20,17.54,40
2025-W27,144,78,53,36.81,41
2025-W28,52,32,17,32.69,25
2025-W29,136,89,39,28.68,48
2025-W30,44,40,4,9.09,21
2025-W31,85,63,16,18.82,43
2025-W32,64,44,18,28.13,25
2025-W33,71,58,11,15.49,33
2025-W34,77,68,8,10.39,36
2025-W35,58,44,11,18.97,27
2025-W36,45,32,11,24.44,26
2025-W37,59,39,11,18.64,31
2025-W38,93,72,16,17.2,52
2025-W39,94,80,10,10.64,53
2025-W40,79,64,8,10.13,46
2025-W41,73,61,5,6.85,41
2025-W42,51,30,13,25.49,30
2025-W43,68,49,15,22.06,39
2025-W44,70,53,11,15.71,34
2025-W45,44,29,10,22.73,27
2025-W46,60,38,13,21.67,32
2025-W47,56,38,12,21.43,30
2025-W48,57,45,8,14.04,27
2025-W49,82,53,18,21.95,44
2025-W50,50,41,8,16.0,29
2025-W51,39,24,10,25.64,24
2025-W52,33,24,2,6.06,21
2026-W01,9,8,1,11.11,6
2026-W02,62,42,15,24.19,37
2026-W03,43,30,13,30.23,24
2026-W04,43,24,14,32.56,23
2026-W05,48,34,8,16.67,26
2026-W06,62,35,22,35.48,35
2026-W07,74,38,19,25.68,39
2026-W08,30,16,11,36.67,17
2026-W09,30,17,9,30.0,17
2026-W10,13,8,3,23.08,8
